what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.editors",1406625176613
started,bundle,org.eclipse.ui.forms,3.5.2.r36_v20100702,"org.eclipse.ui.forms",1406625176615
started,bundle,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.ide",1406625176638
started,bundle,org.eclipse.ui.net,1.2.100.I20100505-1245,"org.eclipse.ui.net",1406625176640
started,bundle,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views",1406625176642
started,bundle,org.eclipse.ui.views.log,1.0.100.v20100423,"org.eclipse.ui.views.log",1406625176645
started,bundle,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"org.eclipse.ui.workbench",1406625176689
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.workbench.texteditor",1406625176746
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1406625176748
started,bundle,org.eclipse.update.core,3.2.402.R36x_v20100629,"org.eclipse.update.core",1406625176798
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1406625176800
os,sysinfo,,,"win32",1406625176809
arch,sysinfo,,,"x86",1406625176809
ws,sysinfo,,,"win32",1406625176809
locale,sysinfo,,,"en_US",1406625176809
processors,sysinfo,,,"2",1406625176809
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1406625176809
java.runtime.version,sysinfo,,,"1.7.0_55-b14",1406625176809
java.specification.name,sysinfo,,,"Java Platform API Specification",1406625176809
java.specification.vendor,sysinfo,,,"Oracle Corporation",1406625176809
java.specification.version,sysinfo,,,"1.7",1406625176809
java.vendor,sysinfo,,,"Oracle Corporation",1406625176809
java.version,sysinfo,,,"1.7.0_55",1406625176809
java.vm.info,sysinfo,,,"mixed mode, sharing",1406625176809
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1406625176809
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1406625176809
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1406625176809
java.vm.specification.version,sysinfo,,,"1.7",1406625176809
java.vm.vendor,sysinfo,,,"Oracle Corporation",1406625176809
java.vm.version,sysinfo,,,"24.55-b03",1406625176809
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1406625227197
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1406625236870
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1406625409083
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1406625773877
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1406626052701
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1406626054216
closed,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1406626054525
started,bundle,org.eclipse.compare,3.5.100.I20100526-0800,"org.eclipse.compare",1406626055788
stopped,bundle,org.eclipse.mylyn.ide.ant,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ant",1406626056016
stopped,bundle,org.eclipse.mylyn.pde.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.pde.ui",1406626056018
stopped,bundle,org.eclipse.pde.api.tools.ui,1.0.201.v20100820_r361,"org.eclipse.pde.api.tools.ui",1406626056020
stopped,bundle,org.eclipse.pde.ds.ui,1.0.100.v20100601,"org.eclipse.pde.ds.ui",1406626056027
stopped,bundle,org.eclipse.pde.runtime,3.4.200.v20100601,"org.eclipse.pde.runtime",1406626056034
stopped,bundle,org.eclipse.pde.ua.ui,1.0.100.v20100504,"org.eclipse.pde.ua.ui",1406626056050
stopped,bundle,org.eclipse.pde.ui.templates,3.4.200.v20100601,"org.eclipse.pde.ui.templates",1406626056080
stopped,bundle,org.eclipse.pde.ui,3.6.1.v20100810_r361,"org.eclipse.pde.ui",1406626056080
stopped,bundle,org.eclipse.ant.ui,3.5.0.v20100427,"org.eclipse.ant.ui",1406626056099
stopped,bundle,org.eclipse.ant.launching,1.0.0.v20100427,"org.eclipse.ant.launching",1406626056108
stopped,bundle,org.eclipse.jdt.apt.pluggable.core,1.0.301.R36_v20100727-0110,"org.eclipse.jdt.apt.pluggable.core",1406626056108
stopped,bundle,org.eclipse.jdt.apt.ui,3.3.300.v20100513-0845,"org.eclipse.jdt.apt.ui",1406626056109
stopped,bundle,org.eclipse.jdt.apt.core,3.3.401.R36_v20100727-0110,"org.eclipse.jdt.apt.core",1406626056109
stopped,bundle,org.eclipse.mtj.jmunit,1.0.1.v201009031435,"org.eclipse.mtj.jmunit",1406626056127
stopped,bundle,org.eclipse.mylyn.java.tasks,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.tasks",1406626056143
stopped,bundle,org.eclipse.mylyn.java.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.ui",1406626056144
