what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console",1406479274417
started,bundle,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.editors",1406479274417
started,bundle,org.eclipse.ui.forms,3.5.2.r36_v20100702,"org.eclipse.ui.forms",1406479274428
started,bundle,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.ide",1406479274464
started,bundle,org.eclipse.ui.net,1.2.100.I20100505-1245,"org.eclipse.ui.net",1406479274467
started,bundle,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views",1406479274470
started,bundle,org.eclipse.ui.views.log,1.0.100.v20100423,"org.eclipse.ui.views.log",1406479274472
started,bundle,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"org.eclipse.ui.workbench",1406479274525
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.workbench.texteditor",1406479274529
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1406479274533
os,sysinfo,,,"win32",1406479274542
arch,sysinfo,,,"x86",1406479274542
ws,sysinfo,,,"win32",1406479274542
locale,sysinfo,,,"en_US",1406479274542
processors,sysinfo,,,"2",1406479274542
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1406479274542
java.runtime.version,sysinfo,,,"1.7.0_55-b14",1406479274542
java.specification.name,sysinfo,,,"Java Platform API Specification",1406479274542
java.specification.vendor,sysinfo,,,"Oracle Corporation",1406479274542
java.specification.version,sysinfo,,,"1.7",1406479274542
java.vendor,sysinfo,,,"Oracle Corporation",1406479274542
java.version,sysinfo,,,"1.7.0_55",1406479274542
java.vm.info,sysinfo,,,"mixed mode, sharing",1406479274542
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1406479274542
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1406479274542
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1406479274542
java.vm.specification.version,sysinfo,,,"1.7",1406479274542
java.vm.vendor,sysinfo,,,"Oracle Corporation",1406479274542
java.vm.version,sysinfo,,,"24.55-b03",1406479274542
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1406479274837
started,bundle,org.eclipse.update.core,3.2.402.R36x_v20100629,"org.eclipse.update.core",1406479274891
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1406479437086
started,bundle,org.eclipse.mylyn.ide.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ui",1406479456763
started,bundle,org.eclipse.mylyn.java.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.ui",1406479456803
started,bundle,org.eclipse.pde.api.tools,1.0.202.v20100820_r361,"org.eclipse.pde.api.tools",1406479456966
started,bundle,org.eclipse.pde.api.tools.ui,1.0.201.v20100820_r361,"org.eclipse.pde.api.tools.ui",1406479456977
started,bundle,org.eclipse.mylyn.pde.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.pde.ui",1406479456980
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1406479471345
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1406479536649
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1406479548929
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1406479549074
