what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1398586677151
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1398586678969
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1398586689286
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1398586698576
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1398586703345
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1398586718527
opened,view,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.views.ProblemView",1398586718932
started,bundle,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search",1398586719148
opened,view,org.eclipse.mylyn.tasks.ui,3.4.2.v20100902-0100-e3x,"org.eclipse.mylyn.tasks.ui.views.tasks",1398586719466
activated,perspective,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.JavaPerspective",1398586719522
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1398586724566
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1398586730127
started,bundle,org.eclipse.compare,3.5.100.I20100526-0800,"org.eclipse.compare",1398586732299
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1398586734890
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1398586756277
opened,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1398586756681
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1398586756814
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1398586779513
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1398586812465
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1398586823006
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1398586828356
